Sequence,RawData,Position384,OriginalSequence
37,24.0288,Plate 2 D9,642
45,24.2402,Plate 2 F9,643
53,47.7734,Plate 2 H9,644
61,29.4954,Plate 2 J9,645
69,21.7124,Plate 2 L9,646
77,22.5774,Plate 2 N9,647
85,21.7778,Plate 2 P9,648
93,25.7642,Plate 2 B10,649
101,24.1453,Plate 2 D10,650
109,21.3719,Plate 2 F10,651
117,22.0575,Plate 2 H10,652
125,190.3452,Plate 2 J10,653
133,30.2779,Plate 2 L10,654
141,25.0541,Plate 2 N10,655
149,24.3335,Plate 2 P10,656
157,54.9454,Plate 2 B11,657
165,27.8611,Plate 2 D11,658
173,26.0179,Plate 2 F11,659
181,44.8781,Plate 2 H11,660
189,51.3544,Plate 2 J11,661
197,27.5126,Plate 2 L11,662
205,25.2073,Plate 2 N11,663
213,24.5576,Plate 2 P11,664
221,22.3457,Plate 2 B12,665
229,34.2241,Plate 2 D12,666
237,23.9433,Plate 2 F12,667
245,23.2801,Plate 2 H12,668
253,25.311,Plate 2 J12,669
261,25.8031,Plate 2 L12,670
269,22.3278,Plate 2 N12,671
277,23.4435,Plate 2 P12,672
285,22.4031,Plate 2 B13,673
293,62.4727,Plate 2 D13,674
301,76.697,Plate 2 F13,675
309,30.372,Plate 2 H13,676
317,25.7246,Plate 2 J13,677
DMSO,19.0955,Plate 2 L13,678
325,24.0362,Plate 2 N13,679
333,32.2404,Plate 2 P13,680
341,25.893,Plate 2 B14,681
349,28.9093,Plate 2 D14,682
357,27.2613,Plate 2 F14,683
365,25.9414,Plate 2 H14,684
373,26.6426,Plate 2 J14,685
381,25.0206,Plate 2 L14,686
389,23.626,Plate 2 N14,687
397,102.5456,Plate 2 P14,688
405,26.2642,Plate 2 B15,689
413,27.391,Plate 2 D15,690
421,27.713,Plate 2 F15,691
429,24.2783,Plate 2 H15,692
437,25.9157,Plate 2 J15,693
445,26.1908,Plate 2 L15,694
453,26.483,Plate 2 N15,695
461,25.1318,Plate 2 P15,696
469,25.2947,Plate 2 B16,697
477,27.8987,Plate 2 D16,698
485,27.9895,Plate 2 F16,699
493,22.3937,Plate 2 H16,700
501,25.5674,Plate 2 J16,701
509,27.7625,Plate 2 L16,702
517,24.7451,Plate 2 N16,703
525,23.9111,Plate 2 P16,704
533,25.82,Plate 2 B17,705
541,25.4125,Plate 2 D17,706
549,24.3373,Plate 2 F17,707
557,25.0253,Plate 2 H17,708
565,23.3175,Plate 2 J17,709
573,24.3685,Plate 2 L17,710
581,26.5407,Plate 2 N17,711
589,26.3391,Plate 2 P17,712
597,23.3739,Plate 2 B18,713
605,23.4959,Plate 2 D18,714
613,21.389,Plate 2 F18,715
621,25.8169,Plate 2 H18,716
629,22.4863,Plate 2 J18,717
637,24.3184,Plate 2 L18,718
DMSO,18.5986,Plate 2 N18,719
645,22.6655,Plate 2 P18,720
653,27.399,Plate 2 B19,721
661,22.8143,Plate 2 D19,722
669,23.0041,Plate 2 F19,723
677,23.7319,Plate 2 H19,724
685,22.0125,Plate 2 J19,725
693,31.1965,Plate 2 L19,726
701,22.16,Plate 2 N19,727
709,45.665,Plate 2 P19,728
717,23.8278,Plate 2 B20,729
725,26.3625,Plate 2 D20,730
733,23.7271,Plate 2 F20,731
741,30.0997,Plate 2 H20,732
749,24.4215,Plate 2 J20,733
757,27.7206,Plate 2 L20,734
765,24.9418,Plate 2 N20,735
773,25.3568,Plate 2 P20,736
781,25.5925,Plate 2 B7,737
789,23.5448,Plate 2 D7,738
797,21.1761,Plate 2 F7,739
805,23.4093,Plate 2 H7,740
813,23.9007,Plate 2 J7,741
821,22.4454,Plate 2 L7,742
829,25.1541,Plate 2 N7,743
837,31.6979,Plate 2 P7,744
845,24.3621,Plate 2 B4,745
853,25.993,Plate 2 D4,746
861,37.2797,Plate 2 F4,747
869,62.9743,Plate 2 H4,748
877,39.5916,Plate 2 J4,749
885,25.6945,Plate 2 L4,750
893,25.884,Plate 2 N4,751
901,25.1165,Plate 2 P4,752
909,25.8897,Plate 2 B3,753
917,33.2092,Plate 2 D3,754
925,25.9301,Plate 2 F3,755
933,23.5158,Plate 2 H3,756
941,144.0039,Plate 2 J3,757
949,33.7641,Plate 2 L3,758
957,27.0363,Plate 2 N3,759
DMSO,20.3934,Plate 2 P3,760
965,29.3678,Plate 2 A3,761
973,25.4515,Plate 2 C3,762
981,27.8458,Plate 2 E3,763
989,23.8105,Plate 2 G3,764
997,23.3502,Plate 2 I3,765
1005,42.4111,Plate 2 K3,766
1013,23.1699,Plate 2 M3,767
1021,24.0589,Plate 2 O3,768
1029,62.8338,Plate 2 A4,769
1037,26.374,Plate 2 C4,770
1045,27.0897,Plate 2 E4,771
1053,25.4511,Plate 2 G4,772
1061,24.6573,Plate 2 I4,773
1069,24.1971,Plate 2 K4,774
1077,38.7016,Plate 2 M4,775
1085,23.8737,Plate 2 O4,776
1093,24.4391,Plate 2 A5,777
1101,24.1692,Plate 2 C5,778
1109,27.2128,Plate 2 E5,779
1117,63.1619,Plate 2 G5,780
1125,24.1461,Plate 2 I5,781
1133,23.6639,Plate 2 K5,782
1141,27.7946,Plate 2 M5,783
1149,32.2821,Plate 2 O5,784
1157,25.6943,Plate 2 A6,785
1165,24.5739,Plate 2 C6,786
1173,47.851,Plate 2 E6,787
1181,25.3942,Plate 2 G6,788
1189,32.6278,Plate 2 I6,789
1197,22.4723,Plate 2 K6,790
1205,25.8657,Plate 2 M6,791
1213,53.8236,Plate 2 O6,792
1221,31.4149,Plate 2 A7,793
1229,24.2807,Plate 2 C7,794
1237,24.8892,Plate 2 E7,795
1245,25.8245,Plate 2 G7,796
1253,24.9306,Plate 2 I7,797
1261,24.8428,Plate 2 K7,798
1269,29.0608,Plate 2 M7,799
1277,25.5685,Plate 2 O7,800
DMSO,16.1846,Plate 2 A8,801
DMSO,18.7271,Plate 2 C8,802
6,23.9132,Plate 2 E8,803
14,26.9312,Plate 2 G8,804
22,29.7995,Plate 2 I8,805
30,40.4215,Plate 2 K8,806
38,81.3612,Plate 2 M8,807
46,26.2167,Plate 2 O8,808
54,39.1897,Plate 2 A9,809
62,23.4581,Plate 2 C9,810
70,70.5052,Plate 2 E9,811
78,23.4624,Plate 2 G9,812
86,23.465,Plate 2 I9,813
94,20.9198,Plate 2 K9,814
102,20.5571,Plate 2 M9,815
110,21.0778,Plate 2 O9,816
118,21.4054,Plate 2 A10,817
126,19.9997,Plate 2 C10,818
134,22.2994,Plate 2 E10,819
142,20.5673,Plate 2 G10,820
150,21.9108,Plate 2 I10,821
158,22.39,Plate 2 K10,822
166,21.5083,Plate 2 M10,823
174,51.692,Plate 2 O10,824
182,20.3628,Plate 2 A11,825
190,31.4728,Plate 2 C11,826
198,30.5173,Plate 2 E11,827
206,22.7947,Plate 2 G11,828
214,20.3566,Plate 2 I11,829
222,20.925,Plate 2 K11,830
230,19.7057,Plate 2 M11,831
238,21.9038,Plate 2 O11,832
246,28.2179,Plate 2 A12,833
254,21.7394,Plate 2 C12,834
262,33.6694,Plate 2 E12,835
270,20.3114,Plate 2 G12,836
278,19.7671,Plate 2 I12,837
286,18.7596,Plate 2 K12,838
294,21.166,Plate 2 M12,839
302,19.106,Plate 2 O12,840
310,38.0134,Plate 2 A13,841
318,25.7015,Plate 2 C13,842
DMSO,16.9362,Plate 2 E13,843
326,21.191,Plate 2 G13,844
334,27.2603,Plate 2 I13,845
342,23.107,Plate 2 K13,846
350,25.2983,Plate 2 M13,847
358,26.9034,Plate 2 O13,848
366,22.7065,Plate 2 A14,849
374,23.1263,Plate 2 C14,850
382,28.6691,Plate 2 E14,851
390,20.5873,Plate 2 G14,852
398,23.1048,Plate 2 I14,853
406,24.7421,Plate 2 K14,854
414,29.0843,Plate 2 M14,855
422,52.6725,Plate 2 O14,856
430,172.5642,Plate 2 A15,857
438,25.0001,Plate 2 C15,858
446,19.8521,Plate 2 E15,859
454,28.6451,Plate 2 G15,860
462,22.4718,Plate 2 I15,861
470,19.6614,Plate 2 K15,862
478,19.3373,Plate 2 M15,863
486,19.6957,Plate 2 O15,864
494,19.6388,Plate 2 A16,865
502,21.2738,Plate 2 C16,866
510,20.3546,Plate 2 E16,867
518,21.4336,Plate 2 G16,868
526,20.799,Plate 2 I16,869
534,32.255,Plate 2 K16,870
542,23.791,Plate 2 M16,871
550,23.0596,Plate 2 O16,872
558,21.66,Plate 2 A17,873
566,34.236,Plate 2 C17,874
574,23.4587,Plate 2 E17,875
582,23.6344,Plate 2 G17,876
590,32.6697,Plate 2 I17,877
598,25.8214,Plate 2 K17,878
606,28.9828,Plate 2 M17,879
614,26.1869,Plate 2 O17,880
622,22.0062,Plate 2 A18,881
630,24.4658,Plate 2 C18,882
638,27.0414,Plate 2 E18,883
DMSO,17.3806,Plate 2 G18,884
646,22.3667,Plate 2 I18,885
654,21.373,Plate 2 K18,886
662,22.2479,Plate 2 M18,887
670,21.8576,Plate 2 O18,888
678,24.8129,Plate 2 A19,889
686,21.4574,Plate 2 C19,890
694,21.42,Plate 2 E19,891
702,20.315,Plate 2 G19,892
710,21.1821,Plate 2 I19,893
718,29.4957,Plate 2 K19,894
726,30.4565,Plate 2 M19,895
734,22.8494,Plate 2 O19,896
742,21.6455,Plate 2 A20,897
750,26.2802,Plate 2 C20,898
758,23.1207,Plate 2 E20,899
766,25.7046,Plate 2 G20,900
774,23.9387,Plate 2 I20,901
782,38.4631,Plate 2 K20,902
790,24.9216,Plate 2 M20,903
798,31.1925,Plate 2 O20,904
806,24.0146,Plate 2 A21,905
814,20.7242,Plate 2 C21,906
822,20.4301,Plate 2 E21,907
830,21.3192,Plate 2 G21,908
838,27.7025,Plate 2 I21,909
846,23.4454,Plate 2 K21,910
854,25.3392,Plate 2 M21,911
862,21.4561,Plate 2 O21,912
870,21.3284,Plate 2 A22,913
878,35.1561,Plate 2 C22,914
886,23.1025,Plate 2 E22,915
894,39.2604,Plate 2 G22,916
902,28.6864,Plate 2 I22,917
910,23.6785,Plate 2 K22,918
918,24.7604,Plate 2 M22,919
926,22.1229,Plate 2 O22,920
934,21.3743,Plate 2 B6,921
942,29.0326,Plate 2 D6,922
950,24.5806,Plate 2 F6,923
958,22.8074,Plate 2 H6,924
DMSO,16.9709,Plate 2 J6,925
966,23.5622,Plate 2 L6,926
974,38.3988,Plate 2 N6,927
982,21.5093,Plate 2 P6,928
990,48.4426,Plate 2 B8,929
998,20.9992,Plate 2 D8,930
1006,20.5486,Plate 2 F8,931
1014,22.8576,Plate 2 H8,932
1022,22.3765,Plate 2 J8,933
1030,21.1124,Plate 2 L8,934
1038,22.478,Plate 2 N8,935
1046,20.3515,Plate 2 P8,936
1054,20.4585,Plate 2 B5,937
1062,25.5713,Plate 2 D5,938
1070,23.3173,Plate 2 F5,939
1078,20.9589,Plate 2 H5,940
1086,36.8784,Plate 2 J5,941
1094,26.8642,Plate 2 L5,942
1102,21.9388,Plate 2 N5,943
1110,63.733,Plate 2 P5,944
1118,26.2609,Plate 2 B21,945
1126,24.789,Plate 2 D21,946
1134,23.2471,Plate 2 F21,947
1142,24.7554,Plate 2 H21,948
1150,23.2253,Plate 2 J21,949
1158,45.4782,Plate 2 L21,950
1166,25.6039,Plate 2 N21,951
1174,24.1201,Plate 2 P21,952
1182,21.9665,Plate 2 B22,953
1190,26.9518,Plate 2 D22,954
1198,20.0542,Plate 2 F22,955
1206,25.6282,Plate 2 H22,956
1214,26.3095,Plate 2 J22,957
1222,24.3909,Plate 2 L22,958
1230,24.1004,Plate 2 N22,959
1238,20.6133,Plate 2 P22,960
1246,20.2817,Plate 2 B23,DMSO
1254,22.1959,Plate 2 D23,DMSO
1262,21.5946,Plate 2 F23,DMSO
1270,36.4791,Plate 2 H23,DMSO
1278,26.3742,Plate 2 J23,DMSO
DMSO,17.2062,Plate 2 L23,DMSO
DMSO,19.5047,Plate 2 N23,DMSO
7,25.5118,Plate 2 P23,DMSO
15,24.9721,Plate 4 B3,961
23,25.7253,Plate 4 D3,962
31,26.5202,Plate 4 F3,963
39,23.6847,Plate 4 H3,964
47,22.8005,Plate 4 J3,965
55,27.4615,Plate 4 L3,966
63,23.5224,Plate 4 N3,967
71,21.6591,Plate 4 P3,968
79,24.545,Plate 4 B4,969
87,49.5083,Plate 4 D4,970
95,35.7448,Plate 4 F4,971
103,23.7063,Plate 4 H4,972
111,22.6512,Plate 4 J4,973
119,34.6424,Plate 4 L4,974
127,43.8156,Plate 4 N4,975
135,23.5005,Plate 4 P4,976
143,22.1692,Plate 4 B5,977
151,23.1429,Plate 4 D5,978
159,71.2859,Plate 4 F5,979
167,2588.4955,Plate 4 H5,980
175,176.2245,Plate 4 J5,981
183,294.8129,Plate 4 L5,982
191,12.6963,Plate 4 N5,983
199,30.1994,Plate 4 P5,984
207,34.0321,Plate 4 B6,985
215,32.7313,Plate 4 D6,986
223,35.4095,Plate 4 F6,987
231,76.7241,Plate 4 H6,988
239,37.0604,Plate 4 J6,989
247,42.1387,Plate 4 L6,990
255,30.0176,Plate 4 N6,991
263,30.0297,Plate 4 P6,992
271,27.6098,Plate 4 B7,993
279,27.7877,Plate 4 D7,994
287,27.2978,Plate 4 F7,995
295,28.2808,Plate 4 H7,996
303,27.3369,Plate 4 J7,997
311,27.7809,Plate 4 L7,998
319,27.8479,Plate 4 N7,999
DMSO,21.3301,Plate 4 P7,1000
327,33.8297,Plate 4 B8,1001
335,29.2399,Plate 4 D8,1002
343,27.6698,Plate 4 F8,1003
351,27.9514,Plate 4 H8,1004
359,31.748,Plate 4 J8,1005
367,31.6078,Plate 4 L8,1006
375,27.9077,Plate 4 N8,1007
383,27.2646,Plate 4 P8,1008
391,24.8139,Plate 4 B9,1009
399,24.7208,Plate 4 D9,1010
407,31.9438,Plate 4 F9,1011
415,36.3112,Plate 4 H9,1012
423,25.7668,Plate 4 J9,1013
431,29.6977,Plate 4 L9,1014
439,40.8677,Plate 4 N9,1015
447,24.0185,Plate 4 P9,1016
455,24.046,Plate 4 B10,1017
463,72.5522,Plate 4 D10,1018
471,35.5635,Plate 4 F10,1019
479,29.6051,Plate 4 H10,1020
487,27.385,Plate 4 J10,1021
495,27.9122,Plate 4 L10,1022
503,27.6743,Plate 4 N10,1023
511,40.5415,Plate 4 P10,1024
519,43.7957,Plate 4 B11,1025
527,25.1737,Plate 4 D11,1026
535,26.8554,Plate 4 F11,1027
543,26.7111,Plate 4 H11,1028
551,31.0211,Plate 4 J11,1029
559,24.9834,Plate 4 L11,1030
567,31.9234,Plate 4 N11,1031
575,30.8349,Plate 4 P11,1032
583,27.478,Plate 4 B12,1033
591,29.4896,Plate 4 D12,1034
599,27.5482,Plate 4 F12,1035
607,26.3915,Plate 4 H12,1036
615,26.7028,Plate 4 J12,1037
623,23.5885,Plate 4 L12,1038
631,24.6268,Plate 4 N12,1039
639,24.5511,Plate 4 P12,1040
DMSO,18.4916,Plate 4 B13,1041
647,24.8622,Plate 4 D13,1042
655,23.1408,Plate 4 F13,1043
663,32.1146,Plate 4 H13,1044
671,23.3292,Plate 4 J13,1045
679,24.1639,Plate 4 L13,1046
687,28.8159,Plate 4 N13,1047
695,27.3225,Plate 4 P13,1048
703,24.7245,Plate 4 B14,1049
711,24.2906,Plate 4 D14,1050
719,23.1922,Plate 4 F14,1051
727,25.1183,Plate 4 H14,1052
735,23.2026,Plate 4 J14,1053
743,94.2844,Plate 4 L14,1054
751,35.8591,Plate 4 N14,1055
759,28.47,Plate 4 P14,1056
767,27.496,Plate 4 B15,1057
775,26.7633,Plate 4 D15,1058
783,25.6297,Plate 4 F15,1059
791,42.9876,Plate 4 H15,1060
799,25.8307,Plate 4 J15,1061
807,23.4163,Plate 4 L15,1062
815,24.7771,Plate 4 N15,1063
823,25.4427,Plate 4 P15,1064
831,22.2838,Plate 4 B16,1065
839,45.9318,Plate 4 D16,1066
847,22.5768,Plate 4 F16,1067
855,30.0495,Plate 4 H16,1068
863,23.6142,Plate 4 J16,1069
871,25.7337,Plate 4 L16,1070
879,24.3865,Plate 4 N16,1071
887,24.2953,Plate 4 P16,1072
895,24.3365,Plate 4 B17,1073
903,24.7101,Plate 4 D17,1074
911,24.7499,Plate 4 F17,1075
919,25.2568,Plate 4 H17,1076
927,25.3435,Plate 4 J17,1077
935,22.946,Plate 4 L17,1078
943,27.0311,Plate 4 N17,1079
951,24.9082,Plate 4 P17,1080
959,25.2993,Plate 4 B18,1081
DMSO,17.5424,Plate 4 D18,1082
967,32.833,Plate 4 F18,1083
975,29.1489,Plate 4 H18,1084
983,24.1078,Plate 4 J18,1085
991,29.1767,Plate 4 L18,1086
999,22.5736,Plate 4 N18,1087
1007,23.2714,Plate 4 P18,1088
1015,25.9973,Plate 4 B19,1089
1023,29.3077,Plate 4 D19,1090
1031,22.1962,Plate 4 F19,1091
1039,25.0191,Plate 4 H19,1092
1047,29.7868,Plate 4 J19,1093
1055,40.7982,Plate 4 L19,1094
1063,23.8867,Plate 4 N19,1095
1071,32.9011,Plate 4 P19,1096
1079,22.6946,Plate 4 B20,1097
1087,23.3206,Plate 4 D20,1098
1095,23.2831,Plate 4 F20,1099
1103,163.2665,Plate 4 H20,1100
1111,59.5637,Plate 4 J20,1101
1119,44.5756,Plate 4 L20,1102
1127,33.3725,Plate 4 N20,1103
1135,30.0113,Plate 4 P20,1104
1143,29.1538,Plate 4 B21,1105
1151,26.6915,Plate 4 D21,1106
1159,25.5656,Plate 4 F21,1107
1167,25.7981,Plate 4 H21,1108
1175,96.7942,Plate 4 J21,1109
1183,23.5614,Plate 4 L21,1110
1191,23.4227,Plate 4 N21,1111
1199,24.3029,Plate 4 P21,1112
1207,24.8662,Plate 4 B22,1113
1215,23.1631,Plate 4 D22,1114
1223,22.6819,Plate 4 F22,1115
1231,21.5328,Plate 4 H22,1116
1239,25.7055,Plate 4 J22,1117
1247,21.3998,Plate 4 L22,1118
1255,23.198,Plate 4 N22,1119
1263,23.1628,Plate 4 P22,1120
1271,23.0625,Plate 4 A22,1121
1279,22.2312,Plate 4 C22,1122
DMSO,15.9953,Plate 4 E22,1123
DMSO,16.922,Plate 4 G22,1124
8,24.2108,Plate 4 I22,1125
16,39.1459,Plate 4 K22,1126
24,24.078,Plate 4 M22,1127
32,23.2548,Plate 4 O22,1128
40,22.3055,Plate 4 A21,1129
48,35.6024,Plate 4 C21,1130
56,22.604,Plate 4 E21,1131
64,29.4141,Plate 4 G21,1132
72,22.526,Plate 4 I21,1133
80,21.7646,Plate 4 K21,1134
88,23.2594,Plate 4 M21,1135
96,145.2382,Plate 4 O21,1136
104,57.3813,Plate 4 A3,1137
112,35.1164,Plate 4 C3,1138
120,26.7065,Plate 4 E3,1139
128,23.1948,Plate 4 G3,1140
136,23.3413,Plate 4 I3,1141
144,21.2513,Plate 4 K3,1142
152,23.2161,Plate 4 M3,1143
160,23.5447,Plate 4 O3,1144
168,22.1648,Plate 4 A4,1145
176,22.137,Plate 4 C4,1146
184,21.9118,Plate 4 E4,1147
192,20.5493,Plate 4 G4,1148
200,52.7964,Plate 4 I4,1149
208,25.9118,Plate 4 K4,1150
216,21.9738,Plate 4 M4,1151
224,21.7558,Plate 4 O4,1152
232,20.7946,Plate 4 A5,1153
240,269.8429,Plate 4 C5,1154
248,24.9416,Plate 4 E5,1155
256,21.3081,Plate 4 G5,1156
264,25.4806,Plate 4 I5,1157
272,21.0882,Plate 4 K5,1158
280,41.9405,Plate 4 M5,1159
288,17.5244,Plate 4 O5,1160
296,19.3097,Plate 4 A6,1161
304,23.7187,Plate 4 C6,1162
312,30.3109,Plate 4 E6,1163
320,22.6223,Plate 4 G6,1164
DMSO,14.4485,Plate 4 I6,1165
328,21.9619,Plate 4 K6,1166
336,24.248,Plate 4 M6,1167
344,38.5519,Plate 4 O6,1168
352,22.8165,Plate 4 A7,1169
360,24.1676,Plate 4 C7,1170
368,143.6708,Plate 4 E7,1171
376,54.554,Plate 4 G7,1172
384,46.2122,Plate 4 I7,1173
392,39.8999,Plate 4 K7,1174
400,36.8967,Plate 4 M7,1175
408,32.5338,Plate 4 O7,1176
416,30.8678,Plate 4 A8,1177
424,30.763,Plate 4 C8,1178
432,28.1207,Plate 4 E8,1179
440,27.4288,Plate 4 G8,1180
448,25.2914,Plate 4 I8,1181
456,32.4251,Plate 4 K8,1182
464,26.0221,Plate 4 M8,1183
472,33.3325,Plate 4 O8,1184
480,32.8485,Plate 4 A9,1185
488,24.114,Plate 4 C9,1186
496,30.1883,Plate 4 E9,1187
504,25.0417,Plate 4 G9,1188
512,24.4012,Plate 4 I9,1189
520,25.2793,Plate 4 K9,1190
528,29.8677,Plate 4 M9,1191
536,27.3408,Plate 4 O9,1192
544,25.5228,Plate 4 A10,1193
552,29.8721,Plate 4 C10,1194
560,26.58,Plate 4 E10,1195
568,26.2148,Plate 4 G10,1196
576,25.662,Plate 4 I10,1197
584,27.4155,Plate 4 K10,1198
592,25.722,Plate 4 M10,1199
600,24.6129,Plate 4 O10,1200
608,58.9532,Plate 4 A11,1201
616,26.8419,Plate 4 C11,1202
624,35.3741,Plate 4 E11,1203
632,27.7232,Plate 4 G11,1204
640,23.9724,Plate 4 I11,1205
DMSO,17.0721,Plate 4 K11,1206
648,24.3777,Plate 4 M11,1207
656,24.0302,Plate 4 O11,1208
664,23.8069,Plate 4 A12,1209
672,28.8272,Plate 4 C12,1210
680,23.5384,Plate 4 E12,1211
688,25.0616,Plate 4 G12,1212
696,26.5734,Plate 4 I12,1213
704,34.9887,Plate 4 K12,1214
712,22.3128,Plate 4 M12,1215
720,23.5941,Plate 4 O12,1216
728,23.4762,Plate 4 A13,1217
736,24.3051,Plate 4 C13,1218
744,23.9675,Plate 4 E13,1219
752,33.485,Plate 4 G13,1220
760,33.1281,Plate 4 I13,1221
768,27.4534,Plate 4 K13,1222
776,25.6568,Plate 4 M13,1223
784,44.7406,Plate 4 O13,1224
792,25.2237,Plate 4 A14,1225
800,23.8136,Plate 4 C14,1226
808,22.5327,Plate 4 E14,1227
816,24.9569,Plate 4 G14,1228
824,23.1196,Plate 4 I14,1229
832,22.6428,Plate 4 K14,1230
840,23.3801,Plate 4 M14,1231
848,23.1434,Plate 4 O14,1232
856,35.1992,Plate 4 A15,1233
864,22.5933,Plate 4 C15,1234
872,22.0034,Plate 4 E15,1235
880,22.9049,Plate 4 G15,1236
888,35.068,Plate 4 I15,1237
896,277.9752,Plate 4 K15,1238
904,39.8684,Plate 4 M15,1239
912,98.0154,Plate 4 O15,1240
920,49.9701,Plate 4 A16,1241
928,36.798,Plate 4 C16,1242
936,31.2584,Plate 4 E16,1243
944,33.9337,Plate 4 G16,1244
952,29.7165,Plate 4 I16,1245
960,29.5914,Plate 4 K16,1246
DMSO,17.7984,Plate 4 M16,1247
968,23.8397,Plate 4 O16,1248
976,23.9399,Plate 4 A17,1249
984,22.6127,Plate 4 C17,1250
992,22.1426,Plate 4 E17,1251
1000,25.8001,Plate 4 G17,1252
1008,24.6232,Plate 4 I17,1253
1016,21.6477,Plate 4 K17,1254
1024,27.0906,Plate 4 M17,1255
1032,26.3112,Plate 4 O17,1256
1040,21.5716,Plate 4 A18,1257
1048,22.1907,Plate 4 C18,1258
1056,21.2358,Plate 4 E18,1259
1064,23.2487,Plate 4 G18,1260
1072,22.871,Plate 4 I18,1261
1080,23.524,Plate 4 K18,1262
1088,24.9922,Plate 4 M18,1263
1096,22.3714,Plate 4 O18,1264
1104,21.9501,Plate 4 A19,1265
1112,25.6503,Plate 4 C19,1266
1120,23.1294,Plate 4 E19,1267
1128,22.1399,Plate 4 G19,1268
1136,22.2407,Plate 4 I19,1269
1144,22.0078,Plate 4 K19,1270
1152,24.0865,Plate 4 M19,1271
1160,34.3076,Plate 4 O19,1272
1168,24.9137,Plate 4 A20,1273
1176,21.528,Plate 4 C20,1274
1184,21.3561,Plate 4 E20,1275
1192,20.8351,Plate 4 G20,1276
1200,22.1927,Plate 4 I20,1277
1208,21.3489,Plate 4 K20,1278
1216,28.5677,Plate 4 M20,1279
1224,21.1904,Plate 4 O20,1280
1232,22.9883,Plate 4 A23,DMSO
1240,22.9704,Plate 4 C23,DMSO
1248,21.4332,Plate 4 E23,DMSO
1256,21.8684,Plate 4 G23,DMSO
1264,22.3111,Plate 4 I23,DMSO
1272,23.1524,Plate 4 K23,DMSO
1280,23.0306,Plate 4 M23,DMSO
